year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_US_Post,No
2014,6,12,14,2,9,16,23,12,24,1004,35,NW,1.79,0,0,14,195
2013,4,27,16,1,79,,59,1,22,1009,24,SE,31.28,0,0,70,196
2012,4,17,15,1,,,,5,25,1005,26,SE,17.88,0,0,168,197
2012,8,8,13,2,,,,26,74,1005,31,NE,0.89,0,0,76,198
2014,6,20,13,2,11,27,14,17,57,1007,26,SE,3.13,0,0,10,199
2015,6,30,3,2,21,10,21,17,88,1006,19,NW,21.02,0,0,12,200
2011,5,7,21,1,,,,5,37,1009,20,SE,23.25,0,0,55,201
2014,2,21,16,4,,245,242,-7,44,1026,4,SE,1.79,0,0,309,202
2014,4,2,2,1,116,108,122,4,54,1010,13,SE,0.89,0,0,119,203
2012,11,17,7,3,,,,-5,59,1020,2,cv,3.58,0,0,75,204
2011,9,10,22,3,,,,14,100,1022,14,NW,1.79,0,0,28,205
2012,10,29,18,3,,,,-4,34,1025,11,NW,7.15,0,0,11,206
2010,12,7,21,4,,,,-16,20,1012,5,SE,40.68,0,0,52,207
2014,1,23,20,4,276,278,282,-11,53,1015,-3,NW,0.89,0,0,325,208
2011,4,4,4,1,,,,-5,51,1023,4,NW,1.78,0,0,151,209
2013,10,29,15,3,3,7,4,-10,14,1027,17,NE,4.92,0,0,12,210
2011,10,28,4,3,,,,3,93,1025,4,cv,0.89,0,0,180,211
2011,10,22,7,3,,,,9,93,1018,10,NW,8.05,0,0,239,212
2011,1,23,14,4,,,,-20,23,1030,-2,NW,191.35,0,0,18,213
2010,6,30,9,2,,,,20,73,1004,25,SE,3.58,0,0,164,214
2015,9,7,9,3,18,,17,17,64,1014,24,NW,10.74,0,0,17,215
2015,2,21,10,4,261,219,227,0,93,1016,1,SE,1.79,0,0,231,216
2013,11,20,4,3,55,107,107,-10,58,1023,-3,NW,9.39,0,0,71,217
2014,3,19,13,1,71,66,68,-6,31,1023,10,NW,11.18,0,0,74,218
2011,3,4,0,1,,,,-13,29,1025,3,NW,6.26,0,0,48,219
2014,3,26,4,1,241,239,227,4,66,1010,10,cv,1.78,0,0,275,220
2015,10,17,19,3,366,,367,13,93,1018,14,cv,4.45,0,0,347,221
2010,12,22,16,4,,,,-16,18,1020,6,NW,70.64,0,0,13,222
2010,12,23,17,4,,,,-27,20,1036,-8,NE,4.92,0,0,21,223
2014,2,9,19,4,15,9,11,-20,25,1035,-3,NW,12.07,0,0,15,224
2013,4,6,7,1,15,19,5,-3,64,1020,3,NW,3.58,0,0,17,225
2014,8,31,2,2,109,110,96,20,94,1013,21,cv,1.78,0.1,0.1,139,226
2011,6,4,21,2,,,,7,33,1007,24,SE,38.88,0,0,24,227
2012,3,4,0,1,,,,-6,68,1027,-1,SE,58.11,0,0,107,228
2012,4,17,13,1,,,,4,28,1007,23,SE,8.94,0,0,121,229
2015,6,25,14,2,62,56,59,18,57,1000,27,SE,9.39,0,0,46,230
2012,6,6,18,2,,,,14,44,1000,27,NW,16.98,0,0,49,231
2014,9,17,20,3,42,37,43,12,63,1021,19,SE,14.76,0,0,49,232
2010,9,21,1,3,,,,14,93,1014,15,NE,34.87,5.1,13.7,11,233
2014,6,19,12,2,169,146,145,18,61,1005,26,SE,19.21,0,0,116,234
2015,12,13,9,4,63,,74,-5,86,1029,-3,NW,0.89,0,0,74,235
2012,7,9,13,2,,,,24,78,1002,28,SE,6.71,0,0,106,236
2011,4,18,22,1,,,,-5,30,1018,12,cv,0.89,0,0,54,237
2010,7,9,22,2,,,,20,94,1006,21,SE,4.02,12.1,29.2,58,238
2014,4,19,14,1,47,45,43,3,47,1021,14,SE,23.7,0,0,46,239
2012,7,6,12,2,,,,22,78,1002,26,cv,1.78,0,0,155,240
2013,5,11,7,1,162,100,91,8,55,995,17,cv,0.89,0,0,106,241
2010,6,1,19,2,,,,15,57,1014,24,NE,4.02,1.4,1.4,115,242
2011,9,22,20,3,,,,10,67,1015,16,cv,0.89,0,0,60,243
2013,11,18,11,3,7,3,7,-19,13,1028,7,NW,201.18,0,0,7,244
2015,1,16,9,4,12,3,11,-17,24,1028,1,NW,20.12,0,0,17,245
2014,11,3,0,3,15,25,21,-3,64,1022,3,cv,2.67,0,0,22,246
2013,4,24,19,1,22,16,17,-4,22,1008,18,NW,59.45,0,0,18,247
2015,6,17,5,2,61,41,57,17,77,1003,21,NW,16.09,0,0,51,248
2014,12,25,2,4,13,15,19,-14,31,1034,1,NW,84.49,0,0,10,249
2011,2,13,5,4,,,,-8,92,1029,-7,NE,1.79,0.2,2.1,61,250
2013,11,4,22,3,118,131,95,-1,56,1026,7,cv,0.89,0,0,129,251
2013,4,4,3,1,38,58,47,-4,42,1015,8,SE,76.45,0,0,48,252
2013,9,11,16,3,67,59,60,11,32,1012,29,SE,20.57,0,0,72,253
2012,6,23,0,2,,,,20,83,1004,23,cv,0.89,0,0,138,254
2014,11,19,14,3,311,416,406,0,56,1020,8,SE,3.58,0,0,399,255
2014,9,20,14,3,111,105,104,16,50,1009,27,SE,1.79,0,0,89,256
2014,11,8,2,3,67,84,62,-3,86,1030,-1,NW,3.58,0,0,79,257
2010,4,14,10,1,,,,-16,16,1030,8,NE,6.71,0,0,42,258
2014,2,10,15,4,23,18,25,-21,20,1032,-1,SE,5.37,0,0,24,259
2010,11,6,1,3,,,,3,93,1018,4,cv,0.89,0,0,221,260
2013,7,18,20,2,110,98,106,22,78,1003,26,SE,46.03,0,0,99,261
2011,1,20,1,4,,,,-22,39,1034,-11,NW,5.81,0,0,20,262
2012,2,19,23,4,,,,-18,35,1022,-5,cv,2.67,0,0,65,263
2013,1,21,8,4,144,,148,-7,92,1029,-6,NW,13.86,0,0,198,264
2010,11,7,17,3,,,,-7,29,1020,10,NW,113.99,0,0,10,265
2015,5,1,20,1,38,,34,13,93,1011,14,NE,4.02,0.6,5.7,30,266
2010,7,10,0,2,,,,20,94,1006,21,NW,1.79,0.9,37.6,40,267
2014,11,7,14,3,24,37,31,-6,34,1031,9,cv,5.34,0,0,33,268
2012,10,11,20,3,,,,8,71,1013,13,cv,1.78,0,0,168,269
2015,3,23,20,1,36,34,38,-15,13,1027,12,SE,27.71,0,0,37,270
2013,1,29,16,4,367,,372,-4,92,1025,-3,SE,8.5,0,0,436,271
2013,2,26,11,4,179,,166,-3,60,1020,4,NW,50.08,0,0,190,272
2015,4,19,17,1,80,24,35,-9,11,1013,22,cv,2.68,0,0,61,273
2012,1,25,17,4,,,,-21,17,1020,1,NW,26.82,0,0,60,274
2013,5,22,21,1,38,44,33,3,28,1012,22,SE,50.06,0,0,35,275
2011,6,21,7,2,,,,20,69,1004,26,SE,49.63,0,0,172,276
2015,4,19,13,1,47,30,39,-8,14,1015,20,NE,10.73,0,0,35,277
2011,1,14,16,4,,,,-22,18,1032,-1,NW,114.88,0,0,16,278
2013,11,1,0,3,195,275,246,2,80,1028,5,SE,0.89,0,0,289,279
2014,9,7,3,3,161,143,137,20,88,1008,22,SE,40.24,0,0,147,280
2013,3,24,10,1,4,10,7,-18,15,1025,6,NW,15.65,0,0,12,281
2011,8,11,23,2,,,,24,83,1004,27,SE,28.18,0,0,123,282
2012,8,17,22,2,,,,22,78,1007,26,SE,48.28,0,0,185,283
2010,3,10,21,1,,,,-10,40,1017,2,SE,29.5,0,0,68,284
2011,8,25,1,2,,,,19,93,1013,20,NW,3.58,0,0,98,285
2012,3,11,1,1,,,,-19,27,1036,-3,NW,173.44,0,0,6,286
2013,10,22,12,3,153,161,142,5,47,1021,16,SE,8.05,0,0,151,287
2014,5,11,21,1,18,21,20,10,81,1002,13,SE,8.05,0,0,28,288
2014,8,31,12,2,71,62,59,19,69,1013,25,cv,0.89,0,0,55,289
2012,11,29,19,3,,,,-9,58,1023,-2,SE,0.89,0,0,71,290
2011,12,13,17,4,,,,-2,86,1022,0,cv,0.89,0,0,247,291
2010,7,2,8,2,,,,19,69,1001,25,NW,35.76,0,0,29,292
2013,3,18,1,1,329,478,309,3,70,1002,8,NW,8.04,0,0,246,293
2013,1,27,6,4,239,,241,-11,92,1029,-10,NE,2.68,0,0,312,294
2015,5,30,10,1,47,45,53,12,39,1009,27,SE,3.13,0,0,49,295
2010,1,30,20,4,,,,-19,16,1019,4,NW,74.18,0,0,67,296
2015,12,22,13,4,415,394,377,-4,69,1028,1,cv,2.67,0,0,407,297
2010,1,9,10,4,,,,-17,44,1029,-7,NE,11.62,0,0,66,298
2015,4,10,16,1,112,120,115,2,30,1016,20,SE,13.86,,,108,299
2013,9,27,17,3,256,241,254,10,46,1009,22,SE,16.55,0,0,259,300
2015,11,23,17,3,,,,-8,73,1039,-4,cv,1.78,0,0,20,301
2013,6,16,18,2,217,184,,20,88,1002,22,NW,8.05,0,0,199,302
2014,5,16,8,1,18,45,24,3,26,1007,23,NE,4.02,0,0,271,303
2013,2,1,23,4,12,,9,-17,35,1033,-4,NE,27.27,0,0,14,304
2012,12,18,8,4,,,,-19,44,1039,-9,cv,0.45,0,0,37,305
2015,4,1,15,1,40,40,36,-6,26,1019,13,SE,13.41,0,0,37,306
2014,7,27,12,2,155,142,135,18,38,1009,34,SE,3.13,0,0,120,307
2015,10,6,0,3,357,,363,14,93,1017,15,NE,0.89,,,345,308
2011,5,22,7,1,,,,5,51,1013,15,NE,3.58,0,0,115,309
2014,12,18,14,4,121,163,142,-7,51,1027,2,SE,3.58,0,0,163,310
2014,11,22,20,3,79,147,110,-5,45,1026,6,SE,14.76,0,0,123,311
2010,2,24,23,4,,,,3,86,1010,5,cv,0.89,0,0,164,312
2013,3,1,10,1,6,,3,-25,13,1035,0,NW,7.15,0,0,12,313
2015,2,19,8,4,302,330,280,-6,74,1031,-2,SE,33.98,0,0,103,314
2013,11,21,0,3,136,214,193,-9,50,1026,0,NW,0.89,0,0,191,315
2014,6,16,19,2,114,111,113,20,61,1000,28,SE,17.43,0,0,108,316
2012,11,14,6,3,,,,-12,53,1024,-4,NW,8.04,0,0,15,317
2010,10,15,12,3,,,,-2,24,1016,19,SE,4.92,0,0,24,318
2011,11,18,9,3,,,,4,61,1015,11,NE,4.02,0,0,54,319
2014,2,15,7,4,320,294,331,-9,73,1025,-5,NW,10.74,0,0,319,320
2012,4,19,0,1,,,,13,93,1011,14,NW,1.79,0.1,6.2,59,321
2011,10,3,2,3,,,,3,70,1030,8,NW,3.58,0,0,32,322
2011,12,16,20,4,,,,-19,40,1036,-8,cv,2.68,0,0,49,323
2012,12,4,18,4,,,,-15,31,1020,0,NW,3.58,0,0,149,324
2015,12,2,22,4,6,,3,-13,34,1020,1,NW,160.03,0,0,5,325
2010,2,27,7,4,,,,-5,92,1021,-4,SE,54.95,0.1,0.5,52,326
2014,6,20,4,2,27,52,35,18,93,1007,19,cv,1.34,0.5,5.3,48,327
2012,10,8,4,3,,,,11,100,1020,11,cv,1.78,0,0,262,328
2013,7,27,20,2,,,,22,83,1000,25,cv,2.67,0,0,164,329
2013,6,15,13,2,167,167,,15,42,1006,29,SE,1.79,0,0,141,330
2013,1,3,9,4,,,,-26,25,1046,-10,NE,4.02,0,0,29,331
2011,11,5,15,3,,,,3,54,1026,12,NE,3.13,0,0,35,332
2013,2,5,18,4,98,,93,-6,79,1022,-3,SE,6.71,0,0,115,333
2014,6,21,9,2,75,87,80,18,78,1010,22,cv,0.89,0,0,74,334
2010,5,4,19,1,,,,17,88,1000,19,SE,29.95,2.4,10.8,228,335
2012,12,7,8,4,,,,-17,48,1025,-8,NW,34.42,0,0,35,336
2014,10,24,1,3,164,221,208,9,93,1012,10,cv,0.89,0,0,195,337
2015,2,3,7,4,205,195,195,-5,92,1032,-4,NW,0.89,0,0,190,338
2010,7,5,2,2,,,,21,78,1001,25,NE,0.89,0,0,132,339
2013,11,20,8,3,65,69,41,-13,34,1024,1,NW,23.69,0,0,69,340
2010,4,4,5,1,,,,-1,60,1010,6,cv,1.78,0,0,200,341
2012,10,17,10,3,,,,-9,19,1021,14,SE,4.92,0,0,16,342
2013,9,19,3,3,97,114,96,17,82,1014,20,SE,1.79,0,0,114,343
