year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_US_Post,No,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan
2011,3,15,19,1,-19.0,13.0,1023.0,7.0,1,0.6019639016178808,0.0,0.0,16,72,16.0,12.0,14.0
2010,1,12,7,4,-25.0,33.0,1030.0,-12.0,1,0.024240157112129432,0.0,0.0,16,73,9.0,12.0,12.0
2014,4,30,19,1,9.0,36.0,1006.0,25.0,2,0.05601795567193491,0.0,0.0,91,74,77.0,71.0,80.0
2013,2,2,3,4,-17.0,48.0,1034.0,-8.0,1,0.005854297203778173,0.0,0.0,16,75,11.0,11.0,11.0
2011,9,6,20,3,19.0,78.0,1008.0,23.0,2,0.06355559711961095,0.0,0.0,164,76,162.0,158.0,152.0
2011,4,1,17,1,-5.0,36.0,1028.0,9.0,1,0.03344243897877116,0.0,0.0,19,77,13.0,19.0,16.0
2013,10,15,13,3,-12.0,13.0,1029.0,16.0,4,0.0016646404189656786,0.0,0.0,8,78,6.0,8.0,3.0
2015,4,16,0,1,-12.0,12.0,1007.0,17.0,1,0.14714299074160667,0.0,0.0,128,79,77.0,127.0,78.0
2013,11,27,14,3,-28.0,10.0,1027.0,0.0,1,0.4656878331618816,0.0,0.0,9,80,12.0,11.0,10.0
2014,1,9,2,4,-23.0,31.0,1033.0,-9.0,1,0.0066959693257271115,0.0,0.0,10,81,11.0,12.0,16.0
2011,1,6,7,4,-21.0,37.0,1039.0,-9.0,1,0.601140933320864,0.0,0.0,9,82,9.0,8.0,6.0
2013,7,31,9,2,20.0,69.0,1000.0,26.0,2,0.00836060974469279,0.0,0.0,34,83,82.0,222.0,34.0
2013,1,19,4,4,-12.0,62.0,1027.0,-6.0,4,0.0008416721219489386,0.0,0.0,277,84,218.0,218.0,176.0
2013,7,9,19,2,22.0,88.0,1003.0,24.0,4,0.0016646404189656786,0.0,0.0,40,85,43.0,40.0,33.0
2012,4,21,22,1,11.0,82.0,1007.0,14.0,2,0.02676517347797625,0.0,0.0,147,86,136.0,146.0,120.0
2012,1,1,4,4,-13.0,49.0,1033.0,-4.0,3,0.009202281866641729,0.0,0.0,38,87,31.0,27.0,33.0
2011,3,14,19,1,-18.0,13.0,1027.0,8.0,1,0.22491349480968859,0.0,0.0,18,88,15.0,13.0,14.0
2013,11,29,19,3,-15.0,17.0,1017.0,8.0,1,0.009202281866641729,0.0,0.0,105,89,111.0,88.0,93.0
2015,8,8,20,2,22.0,78.0,1011.0,26.0,2,0.0016646404189656786,0.0,0.0,63,90,85.0,76.0,64.0
2012,7,31,3,2,20.0,100.0,1006.0,20.0,4,0.003329280837931357,0.4,45.7,35,91,33.0,39.0,30.0
2013,12,2,11,4,-15.0,19.0,1019.0,7.0,4,0.0033479846628635557,0.0,0.0,87,92,82.0,71.0,75.0
2012,12,11,0,4,-11.0,73.0,1032.0,-7.0,4,0.005012625081829235,0.0,0.0,165,93,118.0,187.0,157.0
2015,1,9,10,4,-16.0,24.0,1032.0,2.0,1,0.028429813896941925,0.0,0.0,16,94,10.0,5.0,13.0
2012,3,19,22,1,-2.0,69.0,1024.0,3.0,2,0.009202281866641729,0.0,0.0,106,95,91.0,94.0,75.0
2014,11,19,15,3,0.0,53.0,1020.0,9.0,4,0.0033479846628635557,0.0,0.0,370,96,309.0,385.0,389.0
2013,4,23,11,1,8.0,71.0,1011.0,13.0,2,0.009202281866641729,0.0,0.0,229,97,200.0,228.0,186.0
2015,7,20,3,2,22.0,100.0,1008.0,22.0,2,0.005854297203778173,0.0,0.0,82,98,91.0,78.0,67.0
2012,3,9,11,1,-6.0,59.0,1029.0,1.0,4,0.0033479846628635557,0.0,0.0,140,99,115.0,132.0,111.0
2010,12,6,10,4,-18.0,22.0,1035.0,1.0,1,0.3811839521182082,0.0,0.0,15,100,8.0,10.0,9.0
2010,7,22,20,2,25.0,74.0,1007.0,30.0,2,0.03931544000748153,0.0,0.0,176,101,105.0,282.0,221.0
2011,3,16,14,1,-13.0,18.0,1022.0,10.0,2,0.0150378752454877,0.0,0.0,37,102,37.0,34.0,35.0
2012,6,28,10,2,20.0,94.0,1011.0,21.0,2,0.010043953988590667,0.5,5.7,89,103,90.0,87.0,85.0
2010,6,15,4,2,19.0,88.0,1002.0,21.0,2,0.0033479846628635557,0.0,0.0,175,104,163.0,178.0,137.0
2011,12,29,5,4,-11.0,62.0,1038.0,-5.0,2,0.009202281866641729,0.0,0.0,33,105,21.0,36.0,30.0
2013,9,27,16,3,9.0,40.0,1009.0,23.0,2,0.027606845599925184,0.0,0.0,254,106,234.0,235.0,269.0
2011,9,7,10,3,21.0,83.0,1006.0,24.0,3,0.0033479846628635557,0.0,0.0,277,107,286.0,270.0,262.0
2015,6,11,14,2,9.0,27.0,997.0,30.0,1,0.09948564481436453,0.0,0.0,4,108,6.0,3.0,6.0
2013,2,27,10,4,-5.0,39.0,1020.0,8.0,1,0.03344243897877116,0.0,0.0,129,109,202.0,202.0,112.0
2011,3,23,22,1,-12.0,21.0,1023.0,9.0,1,0.03845506406060039,0.0,0.0,15,110,14.0,15.0,13.0
2014,10,4,8,3,13.0,93.0,1019.0,14.0,2,0.04934069017114,0.0,0.0,58,111,43.0,50.0,48.0
2011,11,26,21,3,-4.0,55.0,1020.0,4.0,1,0.009202281866641729,0.0,0.0,305,112,267.0,277.0,279.0
2014,8,10,19,2,18.0,45.0,1001.0,31.0,2,0.03512578322266904,0.0,0.0,53,113,58.0,54.0,52.0
2011,7,26,12,2,20.0,49.0,1000.0,32.0,4,0.0016646404189656786,0.0,0.0,30,114,32.0,43.0,35.0
2010,1,27,16,4,-14.0,20.0,1014.0,7.0,1,0.06022631628167961,0.0,0.0,29,115,29.0,30.0,24.0
2010,5,20,12,1,4.0,17.0,1005.0,32.0,2,0.0033479846628635557,0.0,0.0,58,116,57.0,62.0,44.0
2013,11,23,4,3,-6.0,68.0,1021.0,-1.0,1,0.010866922285607407,0.0,0.0,280,117,266.0,303.0,305.0
2012,3,21,2,1,1.0,86.0,1023.0,3.0,2,0.09112503506967175,0.0,0.0,188,118,154.0,174.0,167.0
2012,11,17,8,3,-3.0,86.0,1020.0,-1.0,3,0.0033479846628635557,0.0,0.0,70,119,64.0,96.0,67.0
2011,5,19,6,1,2.0,36.0,1012.0,17.0,1,0.18475638268025812,0.0,0.0,10,120,6.0,9.0,13.0
2014,3,8,21,1,-7.0,47.0,1023.0,3.0,4,0.0016646404189656786,0.0,0.0,187,121,166.0,205.0,149.0
2010,9,11,1,3,11.0,49.0,1009.0,22.0,1,0.018404563733283457,0.0,0.0,133,122,137.0,137.0,134.0
2015,2,7,14,4,-18.0,21.0,1031.0,2.0,3,0.03344243897877116,0.0,0.0,12,123,13.0,14.0,15.0
2014,2,19,20,4,-11.0,46.0,1029.0,-1.0,2,0.03175909473487328,0.0,0.0,89,124,122.0,103.0,113.0
2010,6,19,18,2,19.0,58.0,1003.0,28.0,2,0.03679042364163472,0.0,0.0,83,125,87.0,99.0,82.0
2013,6,2,9,2,16.0,73.0,1007.0,21.0,2,0.022575516693163752,0.0,0.0,217,126,201.0,246.0,230.0
2010,3,13,18,1,-11.0,28.0,1024.0,6.0,2,0.07855606471523427,0.0,0.0,75,127,73.0,63.0,71.0
2010,10,16,0,3,6.0,81.0,1014.0,9.0,4,0.0016646404189656786,0.0,0.0,125,128,119.0,128.0,107.0
2014,9,26,3,3,16.0,88.0,1013.0,18.0,4,0.0016646404189656786,0.0,0.0,99,129,91.0,97.0,88.0
2012,1,1,18,4,-15.0,36.0,1032.0,-2.0,4,0.004170952959880295,0.0,0.0,55,130,54.0,44.0,44.0
2013,7,11,2,2,20.0,83.0,1005.0,23.0,1,0.0877957542317404,0.0,0.0,33,131,35.0,55.0,27.0
2013,7,29,14,2,23.0,62.0,1000.0,31.0,2,0.009202281866641729,0.0,0.0,55,132,43.0,27.0,98.0
2012,5,5,23,1,8.0,38.0,1006.0,23.0,2,0.06103058075376415,0.0,0.0,68,133,78.0,70.0,64.0
2014,12,27,16,4,-9.0,35.0,1025.0,5.0,2,0.011708594407556346,0.0,0.0,249,134,266.0,228.0,247.0
2014,7,22,19,2,17.0,54.0,1006.0,27.0,4,0.0016646404189656786,0.0,0.0,12,135,17.0,12.0,10.0
2012,9,17,11,3,10.0,38.0,1015.0,25.0,1,0.06269522117272983,0.0,0.0,23,136,25.0,21.0,20.0
2012,10,19,11,3,5.0,51.0,1018.0,15.0,2,0.0033479846628635557,0.0,0.0,189,137,187.0,168.0,173.0
2010,9,8,4,3,15.0,88.0,1015.0,17.0,3,0.0016646404189656786,0.0,0.0,79,138,69.0,85.0,65.0
2013,3,12,5,1,0.0,75.0,1012.0,4.0,3,0.0016646404189656786,0.3,0.8,153,139,133.0,141.0,134.0
2011,5,28,21,1,17.0,54.0,1008.0,27.0,2,0.1179089123725802,0.0,0.0,100,140,104.0,92.0,101.0
2010,9,16,15,3,20.0,73.0,1010.0,25.0,2,0.16057233704292528,0.0,0.0,194,141,196.0,182.0,183.0
2013,10,19,17,3,-4.0,23.0,1025.0,17.0,1,0.1655662582998223,0.0,0.0,15,142,11.0,10.0,3.0
2013,6,21,8,2,18.0,61.0,1010.0,26.0,1,0.0066959693257271115,0.0,0.0,122,143,72.0,170.0,103.0
2012,8,11,8,2,22.0,83.0,1007.0,25.0,2,0.0033479846628635557,0.0,0.0,124,144,141.0,113.0,138.0
2015,12,1,16,4,0.0,100.0,1017.0,0.0,4,0.0016646404189656786,0.0,0.0,418,145,444.0,671.0,419.0
2010,4,24,8,1,0.0,40.0,1019.0,13.0,2,0.0033479846628635557,0.0,0.0,86,146,75.0,87.0,74.0
2011,11,12,8,3,-4.0,32.0,1020.0,12.0,1,0.00751893762274385,0.0,0.0,43,147,41.0,46.0,43.0
2010,11,22,4,3,-10.0,67.0,1021.0,-5.0,4,0.0016646404189656786,0.0,0.0,68,148,55.0,73.0,55.0
2014,10,11,8,3,15.0,100.0,1021.0,15.0,2,0.0066959693257271115,0.0,0.0,196,149,170.0,295.0,177.0
2012,4,9,5,1,-2.0,42.0,1014.0,10.0,2,0.05102403441503788,0.0,0.0,150,150,151.0,145.0,136.0
2011,8,16,14,2,18.0,43.0,1003.0,32.0,3,0.022556812868231555,0.0,0.0,4,151,8.0,16.0,7.0
2013,3,31,3,1,1.0,80.0,1023.0,4.0,2,0.11456092770971664,0.0,0.0,130,152,108.0,104.0,89.0
2011,2,11,13,4,-15.0,33.0,1030.0,-1.0,1,0.10868792668100627,0.0,0.0,10,153,11.0,9.0,8.0
2014,3,10,10,1,-7.0,47.0,1026.0,3.0,2,0.0066959693257271115,0.0,0.0,89,154,72.0,71.0,73.0
2015,2,11,10,4,-14.0,23.0,1019.0,5.0,3,0.04180304872346395,0.0,0.0,21,155,32.0,29.0,26.0
2010,12,2,21,4,-15.0,36.0,1027.0,-2.0,3,0.005854297203778173,0.0,0.0,25,156,18.0,35.0,19.0
2015,8,4,5,2,15.0,88.0,1001.0,17.0,1,0.035967455344617975,0.0,0.0,14,157,12.0,20.0,5.0
2015,11,25,6,3,-10.0,85.0,1030.0,-8.0,3,0.0033479846628635557,0.0,0.0,89,158,82.0,36.0,83.0
2015,8,14,18,2,15.0,35.0,1002.0,32.0,4,0.0025063125409146175,0.0,0.0,35,159,31.0,30.0,25.0
2012,8,28,20,2,22.0,69.0,999.0,28.0,2,0.01672121948938558,0.0,0.0,118,160,131.0,116.0,122.0
2013,8,12,15,2,21.0,58.0,1004.0,30.0,2,0.09282708313850183,0.0,0.0,51,161,37.0,88.0,51.0
2013,9,4,3,3,17.0,77.0,1016.0,21.0,2,0.04432806508931077,0.3,0.3,149,162,137.0,149.0,145.0
2013,10,9,20,3,11.0,76.0,1009.0,15.0,1,0.0033479846628635557,0.0,0.0,226,163,224.0,187.0,187.0
2014,1,11,23,4,-19.0,25.0,1032.0,-2.0,4,0.0016646404189656786,0.0,0.0,20,164,23.0,14.0,32.0
2013,6,7,9,2,18.0,88.0,1009.0,20.0,4,0.0016646404189656786,8.1,8.6,122,165,99.0,112.0,92.0
2013,2,15,6,4,-18.0,51.0,1030.0,-10.0,1,0.05850556438791733,0.0,0.0,12,166,6.0,6.0,18.0
2010,4,2,0,1,-7.0,51.0,1018.0,2.0,2,0.0016646404189656786,0.0,0.0,52,167,45.0,45.0,48.0
2013,7,28,14,2,15.0,27.0,999.0,37.0,2,0.00751893762274385,0.0,0.0,20,168,38.0,43.0,52.0
2011,4,11,15,1,-16.0,6.0,1018.0,22.0,4,0.009202281866641729,0.0,0.0,12,169,13.0,14.0,12.0
2011,10,31,1,3,10.0,93.0,1023.0,11.0,4,0.0016646404189656786,0.0,0.0,255,170,211.0,51.0,262.0
2013,3,28,11,1,-20.0,10.0,1023.0,9.0,4,0.0016646404189656786,0.0,0.0,15,171,18.0,16.0,12.0
2010,4,24,17,1,4.0,28.0,1013.0,23.0,2,0.10202936500514355,0.0,0.0,85,172,92.0,82.0,62.0
2012,8,23,14,2,17.0,48.0,1013.0,29.0,2,0.005854297203778173,0.0,0.0,70,173,73.0,68.0,77.0
2011,7,27,3,2,22.0,94.0,1001.0,23.0,3,0.0066959693257271115,0.0,0.0,53,174,53.0,57.0,51.0
2012,4,29,10,1,-3.0,25.0,1014.0,17.0,1,0.021752548396147015,0.0,0.0,220,175,188.0,214.0,196.0
2014,7,22,3,2,16.0,50.0,1005.0,27.0,3,0.0033479846628635557,0.0,0.0,16,176,6.0,49.0,11.0
2014,8,3,20,2,24.0,83.0,1001.0,27.0,2,0.0033479846628635557,0.0,0.0,67,177,81.0,70.0,56.0
2014,1,31,6,4,-9.0,68.0,1020.0,-4.0,1,0.0033479846628635557,0.0,0.0,133,178,99.0,106.0,111.0
2011,8,12,16,2,24.0,62.0,1001.0,32.0,2,0.02676517347797625,0.0,0.0,148,179,181.0,181.0,180.0
2010,10,21,9,3,8.0,87.0,1024.0,10.0,3,0.003329280837931357,0.0,0.0,130,180,103.0,124.0,124.0
2012,12,20,2,4,-11.0,85.0,1031.0,-9.0,1,0.03346114280370336,0.0,0.0,217,181,158.0,236.0,193.0
2015,3,11,3,1,-15.0,36.0,1024.0,-2.0,4,0.005012625081829235,0.0,0.0,98,182,120.0,148.0,129.0
2012,8,28,21,2,23.0,83.0,1000.0,26.0,4,0.0016646404189656786,0.0,0.0,128,183,138.0,145.0,143.0
2011,1,15,8,4,-27.0,23.0,1042.0,-10.0,1,0.47992144393528474,0.0,0.0,18,184,11.0,13.0,11.0
2011,9,2,10,3,17.0,61.0,1011.0,25.0,4,0.0033479846628635557,0.0,0.0,52,185,56.0,47.0,52.0
2014,10,16,7,3,1.0,86.0,1024.0,3.0,4,0.009164874216777332,0.0,0.0,44,186,28.0,154.0,32.0
2014,5,13,18,1,-2.0,13.0,997.0,29.0,1,0.0877957542317404,0.0,0.0,30,187,39.0,26.0,23.0
2015,5,12,5,1,4.0,54.0,996.0,13.0,1,0.18142710184232677,0.0,0.0,7,188,13.0,12.0,9.0
2012,3,29,13,1,-7.0,12.0,1011.0,23.0,1,0.04681567380529319,0.0,0.0,36,189,36.0,37.0,31.0
2011,10,17,15,3,-1.0,25.0,1022.0,19.0,2,0.013373234826522026,0.0,0.0,21,190,20.0,24.0,18.0
2015,8,24,10,2,18.0,57.0,1012.0,27.0,1,0.009202281866641729,0.0,0.0,11,191,12.0,61.0,8.0
2015,9,13,16,3,9.0,27.0,1014.0,30.0,2,0.018404563733283457,0.0,0.0,12,192,17.0,12.0,9.0
2013,10,8,6,3,7.0,66.0,1023.0,13.0,4,0.003329280837931357,0.0,0.0,49,193,69.0,67.0,62.0
2014,11,15,12,3,-6.0,36.0,1028.0,8.0,4,0.005835593378845975,26.775775136867406,27.046892776071576,141,194,91.0,159.0,148.0
2014,6,12,14,2,12.0,24.0,1004.0,35.0,1,0.0033479846628635557,0.0,0.0,14,195,9.0,16.0,23.0
2013,4,27,16,1,1.0,22.0,1009.0,24.0,2,0.05850556438791733,0.0,0.0,70,196,79.0,50.0,59.0
2012,4,17,15,1,5.0,25.0,1005.0,26.0,2,0.03344243897877116,0.0,0.0,168,197,159.0,178.0,88.0
2012,8,8,13,2,26.0,74.0,1005.0,31.0,3,0.0016646404189656786,0.0,0.0,76,198,96.0,137.0,94.0
2014,6,20,13,2,17.0,57.0,1007.0,26.0,2,0.005854297203778173,0.0,0.0,10,199,11.0,27.0,14.0
2015,6,30,3,2,17.0,88.0,1006.0,19.0,1,0.03931544000748153,0.0,0.0,12,200,21.0,10.0,21.0
2011,5,7,21,1,5.0,37.0,1009.0,20.0,2,0.04348639296736183,0.0,0.0,55,201,58.0,57.0,54.0
2014,2,21,16,4,-7.0,44.0,1026.0,4.0,2,0.0033479846628635557,0.0,0.0,309,202,243.0,245.0,242.0
2014,4,2,2,1,4.0,54.0,1010.0,13.0,2,0.0016646404189656786,0.0,0.0,119,203,116.0,108.0,122.0
2012,11,17,7,3,-5.0,59.0,1020.0,2.0,4,0.0066959693257271115,0.0,0.0,75,204,64.0,82.0,74.0
2011,9,10,22,3,14.0,100.0,1022.0,14.0,1,0.0033479846628635557,0.0,0.0,28,205,28.0,30.0,21.0
2012,10,29,18,3,-4.0,34.0,1025.0,11.0,1,0.013373234826522026,0.0,0.0,11,206,11.0,13.0,11.0
2010,12,7,21,4,-16.0,20.0,1012.0,5.0,2,0.07608715982418404,0.0,0.0,52,207,51.0,44.0,50.0
2014,1,23,20,4,-11.0,53.0,1015.0,-3.0,1,0.0016646404189656786,0.0,0.0,325,208,276.0,278.0,282.0
2011,4,4,4,1,-5.0,51.0,1023.0,4.0,1,0.003329280837931357,0.0,0.0,151,209,135.0,140.0,136.0
2013,10,29,15,3,-10.0,14.0,1027.0,17.0,3,0.009202281866641729,0.0,0.0,12,210,3.0,7.0,4.0
2011,10,28,4,3,3.0,93.0,1025.0,4.0,4,0.0016646404189656786,0.0,0.0,180,211,147.0,158.0,171.0
2011,10,22,7,3,9.0,93.0,1018.0,10.0,1,0.015056579070419903,0.0,0.0,239,212,207.0,219.0,218.0
2011,1,23,14,4,-20.0,23.0,1030.0,-2.0,1,0.3578976900776209,0.0,0.0,18,213,12.0,13.0,10.0
2010,6,30,9,2,20.0,73.0,1004.0,25.0,2,0.0066959693257271115,0.0,0.0,164,214,167.0,172.0,137.0
2015,9,7,9,3,17.0,64.0,1014.0,24.0,1,0.020087907977181334,0.0,0.0,17,215,18.0,18.0,17.0
